,playlist_title,url,count,video_title,views,publish_date,video_length,author,keywords,video_id,video_captions
0,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,First C Program | Easiest way to Understand C Programming,17016,14-04-2022 00:00,343,Gate Smashers,"['first c program', 'first c program by gate smashers', 'first c program in turbo c++', 'first c program hello world', 'my first c program', 'my first c program in hindi', 'first program in turbo c++', 'c program in turbo c++', 'first program of c language', 'c programming first program', 'c tutorial', 'c programming', 'c programming basics', 'c programming in hindi', 'c programming language', 'c programming tutorial in hindi', 'c programming course', 'c programming concepts', 'c programming interviews']",57WZGhqhbxg,{}
1,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Precedence & Associativity of All Operators  | Funny & Easiest Way to Remember,6802,23-02-2022 00:00,562,Gate Smashers,"['C Programming', 'Precedence', 'associativity', 'operator precedence', 'operator associativity', '#operator precedence', '#associativity of operatos', 'all operatos precedence', 'Which operator has high precedence?', 'What is the precedence of operators in C?', 'C Operator Precedence', 'Operator precedence', 'Operator Precedence and Associativity in C', 'What is operator precedence in C give example?', 'Operator precedence table', 'C Precedence And Associativity Of Operators', 'c prog ppt', 'c prog pdf', 'puma rebl']",#NAME?,{}
2,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Arithmetic Operators on Integers | C Programming,4127,11-02-2022 00:00,219,Gate Smashers,"['C Programming', 'Best c Programming', 'easiest c Programming', 'c Programming best tutorial', 'arithmetic', 'arithmetic operations', 'arithmetic operators in c', 'addition operator', 'subtraction operator', 'division operator', 'multiplication operator', 'modulus operator', 'modulus operator in c', 'precedence of operators', 'precedence of arithmetic operators', 'precedence of operators in c', 'associativity of operators', 'associativity of operators in c', 'c lectures', 'c language tutorial', 'best tutorial']",gtUevZ6QN3U,{}
3,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Various Arithmetic Operations on Float Datatype | C Programming,5897,14-02-2022 00:00,332,Gate Smashers,"['float', 'float data type', 'float data type in c', 'double', 'double data type', 'double data type in c', 'double data type in c with example', 'double data type explained', 'long double', 'long double data type', 'difference between float and double', 'difference between double and float', 'difference between double and long double', 'fixed point representation', 'floating point representation', 'floating point representation gate', 'c language', 'c programming', 'c language for beginners', 'gate cse']",M1ivht6nr9g,{}
4,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Increment and Decrement operators in C Programming | Postfix | Prefix,7176,17-02-2022 00:00,404,Gate Smashers,"['C Programming', 'Postfix', 'prefix', 'increment', 'increment and decrement operators', 'increment operator', 'increment operators in c', 'decrement operator', 'decrement operator in c', 'increment and decrement operators in c', 'pre increment and post increment in c', 'pre increment and post increment', 'pre decrement and post decrement in c', 'pre decrement and post decrement', 'rvalue', 'lvalue', 'lvalue rvalue', 'lvalue and rvalue', 'lvalue required error in c', 'difference between pre and post increment', 'c language']",_Eh6aU-4ofQ,{}
5,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Practice Question on Increment/Decrement Operator | Postfix | Prefix Example,5007,19-02-2022 00:00,271,Gate Smashers,"['c programming', 'c programming full course', 'c programming for beginners', 'c programming tutorial', 'easy method for increment operator', 'the best tutorial on increment operator', 'what are the logics behind increment operators', 'why we use increment operators in c', 'Increment operator functions', 'Uses of increment operator', 'Logic behind increment operator', 'Questions on increment operator', 'decrement operator in c++ examples', 'Post-increment']",D35Kq4hQLyI,{}
6,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Comma Operator with examples | C Programming,5835,20-02-2022 00:00,253,Gate Smashers,"['C Programming', 'Best c Programming', 'c Programming tutorial', 'c Programming gfg', 'c Programming notes', 'c Programming pdf', 'c Programming ppt', 'c Programming wiki', 'comma operation', 'comma', 'comma operator', 'comma operator in c', 'comma operator use', 'comma operator example', 'example of comma operator', 'comma operator as separator', 'comma operator questions', 'operators', 'operator', 'c operators', 'c language lectures', 'c programming', 'c language for beginners', 'c programming for interviews']",#NAME?,{}
7,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Ternary Operator || Conditional Operator | Nested Ternary Operator | C Programming,6160,22-02-2022 00:00,343,Gate Smashers,"['Ternary operator', 'Nested ternary', 'c Programming', 'best c Programming', 'c Programming tutorial', 'best c Programming tutorial', 'c Programming ppt', 'c Programming pdf', 'c Programming notes', 'c Programming interview', 'Conditional', 'Operator', 'Ternary Operation', 'cpp tutorials', 'cplus plus basics', 'program examples', 'conditional operator', 'conditional operators', 'conditional operators in c', 'use of conditional operator', 'conditional operator explained', 'operators in c', 'c language', 'c programming']",bkjqueplttQ,{}
8,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Sizeof() Operator | C Programming,8288,25-02-2022 00:00,197,Gate Smashers,"['C Programming', 'C Programming tutorial', 'c Programming pdf', 'operator in c Programming', 'c Programming best explanation', 'C Language', 'IT', 'Hands on C Language Training', 'Online C Language Training', 'C Language Tutorial Videos', 'Division', 'size of char', 'size of double', 'size of float', 'C Tutorial For Beginners', 'Case Statement', 'size of integer', 'Nested If Else', 'Addition', 'Else Statement', 'Arithmetic Operators', 'computer programming tutorial', 'size of operator in c', 'Multiplication', 'Floats']",D69jfji9Rzk,{}
9,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Typecasting in C programming | Implicit & Explicit type conversions,6213,13-04-2022 00:00,485,Gate Smashers,"['C type casting tutorial', 'type conversion in c', 'c type conversion tutorial', 'c type casting hindi', 'c type conversion hindi', 'typecasting in c', 'typecasting', 'types of typecasting', 'implicit and explicit', 'implicit typecasting', 'explicit typecasting']",ql2F5Am3_9E,{}
